Country,Total Population Male,Total Population Female,Total Population Both,Life Expectancy Male,Life Expectancy Female,Life Expectancy Both ,Healthy Life Expectancy Male,Healthy Life Expectancy Female,Healthy Life Expectancy Both ,Maternal Mortality Ratio,Prop Births Skilled,Mortality Rate < 5,Neonatal Mortality Rate,New HIV,TB Incidence ,Malaria Incidence,HepB age < 5,NTD Reported,Prob Death CVD+ ,Suicide Rate,Total Alcohol > 14,Road Mortality,Family Planning,Ad Birth Rate 15-19,Ad Birth Rate 10-14,Univ Health Care,Health care 10 > expend,Health care 25 > expend,Air Pollut Mortality,WASH Mortality,Poison Mortality,Tobacco Use < 15,DPT3 Immuno ,MCV2 immuno,PCV3 immuno,HPV immuno,Research Health ,Medicine Affordable ,Doctor Density,Density Nursing,Density Dentist,Density Pharmacist,Health Reg Score,MRSA,Ecoli,Gov Expend Health,Stunting < 5,Wasting < 5,Overweight < 5,Anaemia Women 15-49,Violence Girls Partner 15-49,Violence Girls Partner Lifetime,Water Safe,Sanitation Service,Hand Washing,Water Treated,Dev Expend Mil,Clean Fuel Tech,Pollution Urban,Homicide Mortality,Polio Cases,Hypertension 30-79,Obesity 5-19,Obesity Adults
Iceland, 171, 170, 341,80.8,83.9,82.3,71.7,72.3,72.0,4,97,2,<1,0.04,3,-,0.15,  0,8.7,11.9,9.2,2,-,4.4,0.0,87,-,-,8.7,0.1,1.0,12.0,93,93,93,91,-,-,41.4,167.8,8.5,6.1,76,-,-,16.4,-,-,-,10.3,3,21,100,84,-,73,-,100,5.8,1.2,0,27.5,9.9,21.9
India,717 101,662 903,1380 004,69.5,72.2,70.8,60.3,60.4,60.3,145,89,33,20,0.04,188,3.2,0.16,751 758 629,21.9,12.7,5.6,15.6,72.8,12.2,0.2,61,17.3,6.5,184.3,18.6,0.3,27.2,85,81,21,-,0.26,-,7.4,17.5,1.6,8.7,84,65,87,3.4,30.9,17.3,1.9,53.0,18,35,-,46,68,27,305.48,68,78.2,3.8,0,31.1,2.0,3.9
Indonesia,137 718,135 806,273 524,69.4,73.3,71.3,61.9,63.8,62.8,177,95,23,12,0.1,301,2.9,1.3,86 492 939,24.8,2.4,0.2,11.3,77,36.0,0.3,59,4.5,0.9,112.4,7.1,0.3,37.6,77,49,4,7,0.50,-,6.2,39.5,1.2,0.9,64,36,76,8.7,31.8,10.2,11.1,31.2,9,22,-,-,94,-,185.28,84,20.7,4.3,0,40.3,6.1,6.9
Iran (Islamic Republic of),42 408,41 585,83 993,75.7,79.1,77.3,66.0,66.5,66.3,16,99,13,8,0.03,13,0.0,0.05,  5,14.8,5.2,1,21.5,-,27.6,0.5,77,15.3,3.5,50.9,1.0,1.0,13.6,99,98,-,-,0.27,-,15.8,20.8,4.5,2.9,86,44,69,21.4,6.3,-,9.4,24.1,18,31,94,-,-,22,1.09,96,33.7,3.1,0,26.2,9.8,25.8
Iraq,20 358,19 865,40 223,69.9,75.0,72.4,61.6,63.7,62.7,79,96,25,14,-,27,-,0.29,2 170 486,23.5,3.6,0.4,27.3,53.7,70.0,1.6,55,3.7,0.9,75.1,3.0,0.2,18.5,74,93,0,-,1.98,-,9.7,23.9,3.5,4.1,46,86,95,6.0,11.6,3.0,9.0,28.6,-,26,60,43,97,37,69.87,99,56.4,14.4,0,48.1,14.4,30.4
Ireland,2 451,2 486,4 938,80.2,83.5,81.8,70.7,71.4,71.1,5,100,3,2,0.08,5,-,0.04,  1,9.7,9.6,12.7,3.1,-,5.7,0.0,83,-,-,11.9,<0.1,0.3,20.8,94,-,86,77,-,-,34.9,179.8,6.7,13.7,66,14,11,20.3,-,-,-,12.1,3,16,97,83,-,83,-,100,8.5,0.8,0,32.3,9.8,25.3
Israel,4 308,4 347,8 656,80.8,84.4,82.6,72.0,72.7,72.4,3,-,4,2,-,2,-,0.05,  88,8.8,5.3,4.4,3.9,-,8.3,0.0,84,10.7,1.8,15.4,0.2,<0.1,21.2,98,96,94,55,-,-,36.3,119.9,11.7,9.9,-,-,-,12.1,-,-,-,12.9,6,-,99,95,-,93,-,100,18.6,1.2,0,29.1,11.9,26.1
Italy,29 438,31 024,60 462,80.9,84.9,83.0,71.2,72.6,71.9,2,100,3,2,0.04,7,-,0.33,  35,9,6.7,8,5.3,-,3.7,0.0,83,-,-,15.0,0.1,0.3,23.1,94,86,91,27,-,-,39.5,62.7,8.4,12.1,72,37,29,13.2,-,-,-,13.6,4,16,96,96,-,95,-,100,15.3,0.7,0,33.8,12.5,19.9
Jamaica,1 470,1 492,2 961,74.4,77.7,76.0,65.9,67.3,66.6,80,100,13,9,0.53,2,-,0.55,  824,16.9,2.4,4.2,15.1,-,51.7,0.0,70,-,-,25.4,0.6,<0.1,9.4,96,89,-,3,1.49,-,5.3,9.4,0.9,0.2,88,-,-,13.3,8.5,3.3,6.8,19.9,7,24,-,-,-,-,0.38,83,15.4,50.3,0,46.3,13.0,24.7
Japan,61 753,64 723,126 476,81.5,86.9,84.3,72.6,75.5,74.1,5,100,2,<1,0.01,12,-,0.96,  5,8.3,15.3,10.1,3.6,-,2.8,0.0,85,10.5,1.9,11.9,0.2,0.2,20.1,96,95,95,1,-,-,24.8,119.5,8.0,18.9,98,36,21,24.2,5.5,-,2.4,19.0,4,20,99,81,-,98,-,100,13.7,0.2,0,31.4,3.3,4.3
